id,name,type,out_strength,in_strength,betweenness
David G Corke,David G Corke,archive_holder,4,0,0.000473727802563877
David John Carter,David John Carter,archive_holder,2,0,0.0012560964461920982
David Malouf,David Malouf,archive_holder,5,9,0.0034966573727802813
David Martin,David Martin,archive_holder,13,10,0.014458488714346067
David Moore,David Moore,archive_holder,1,0,0.0
David Morris,David Morris,archive_holder,1,0,0.0
David Rowbotham,David Rowbotham,archive_holder,15,2,0.005407378330742825
Denis Freney,Denis Freney,archive_holder,7,0,1.7944234945601402e-06
Denis Kevans,Denis Kevans,archive_holder,3,0,0.0
Denis Warner,Denis Warner,archive_holder,14,1,0.005622744053452707
Dennis Altman,Dennis Altman,archive_holder,19,0,0.0033458182730914253
Dennis Haskell,Dennis Haskell,archive_holder,14,2,0.004942225537742771
Densey Clyne,Densey Clyne,archive_holder,9,1,2.0934940769868303e-06
Derek John Derek Freeman,Derek John Derek Freeman,archive_holder,7,0,0.001728927037008695
Desmond Digby,Desmond Digby,archive_holder,2,0,0.0
Diana Giese,Diana Giese,archive_holder,10,0,2.69163524184021e-06
Diana Phillips,Diana Phillips,archive_holder,3,0,2.9907058242669e-07
Diane Fahey,Diane Fahey,archive_holder,1,1,0.0
Don Aitkin,Don Aitkin,archive_holder,1,0,0.0
Don Whitington,Don Whitington,archive_holder,5,0,0.00172401897242038
Donald Kilgour Rodgers,Donald Kilgour Rodgers,archive_holder,3,0,0.0014137066431309637
Donald Leslie Johnson,Donald Leslie Johnson,archive_holder,7,0,0.0008599531089156456
Donald Stuart,Donald Stuart,archive_holder,1,1,0.0012560964461920978
Donovan Clarke,Donovan Clarke,archive_holder,11,0,0.002904636506400311
Dora Birtles,Dora Birtles,archive_holder,1,0,0.0
Dora Wilcox,Dora Wilcox,archive_holder,8,4,0.0037739627306838976
Doris Chadwick,Doris Chadwick,archive_holder,3,2,0.0025534190911104134
Dorothy Cottrell,Dorothy Cottrell,archive_holder,4,0,0.0
Dorothy Fitzpatrick,Dorothy Fitzpatrick,archive_holder,4,1,0.0006316370700851693
Dorothy Green,Dorothy Green,archive_holder,10,12,0.019885983409787936
Dorothy Hewett,Dorothy Hewett,archive_holder,14,9,0.012426919044535347
Dorothy Horsfield,Dorothy Horsfield,archive_holder,3,2,0.0016865957828514472
Douglas Lockwood,Douglas Lockwood,archive_holder,2,1,0.0001616227272530904
Douglas Stewart,Douglas Stewart,archive_holder,9,18,0.01816466776895512
Drusilla Modjeska,Drusilla Modjeska,archive_holder,7,4,0.005039096169168891
Dudley Glass,Dudley Glass,archive_holder,2,0,2.9907058242669e-07
Dymphna Cusack,Dymphna Cusack,archive_holder,5,7,0.0032944811555451464
E G Ernest Gordon Hallsworth,E G Ernest Gordon Hallsworth,archive_holder,3,0,0.0014137066431309637
E Garnet Edmund Garnet Bonney,E Garnet Edmund Garnet Bonney,archive_holder,1,0,0.0
E J Edwin James Brady,E J Edwin James Brady,archive_holder,32,0,0.00997753332317318
E J Rupert Evelyn John Rupert Atkinson,E J Rupert Evelyn John Rupert Atkinson,archive_holder,8,0,0.0033693399222750123
E Morris Edmund Morris Miller,E Morris Edmund Morris Miller,archive_holder,6,0,0.0018850418810354274
